Method and Subset; Avg. Precision; Median Precision; Avg. Recall; Median Recall; Avg. SDE; Median SDE; Avg. BB-IOU; Median BB-IOU; Avg. IOU-20; Median IOU-20; Avg. IOU-15; Median IOU-15; Avg. IOU-10; Median IOU-10; Avg. IOU-5; Median IOU-5; Avg. IOU-0; Median IOU-0
Ori 3D Skel Spur Removal Strict 4;1045,377571;560,425005;38,58670703;3,228348846;438,5833315;198,9760934;0,155065275;0,068999998;0,17404915;0,148400247;0,159020373;0,121999163;0,129589681;0,083442449;0,083709543;0,028835263;0,035716829;0
Ori 3D Skel Spur Removal Strict 5;1090,937496;504,0415172;24,23485925;3,034951614;399,8933851;123,5189356;0,159152133;0,06727313;0,167047196;0,128738547;0,15299331;0,105686427;0,125123894;0,067943827;0,082760398;0,01332896;0,03788826;0
Ori 3D Skel Spur Removal Strict 6;1084,241035;579,3961926;25,76837285;2,666825486;403,2981665;146,0163558;0,155820672;0,070574949;0,164283575;0,128073875;0,150651012;0,108169099;0,124635724;0,075132399;0,083956636;0,0260248;0,035652996;0
Ori 3D Skel Spur Removal Strict 7;1047,72697;633,4210027;42,51563935;3,237478395;451,1741276;234,4771687;0,154399508;0,075556061;0,172093714;0,144428288;0,158637412;0,125155708;0,133845561;0,086401267;0,091391144;0,034110532;0,032501965;0,00046653
Ori 3D Skel Spur Removal Strict 8;1082,363602;550,3714215;19,64649468;1,81164464;356,4165622;81,07978589;0,155534974;0,053510253;0,168628276;0,120403334;0,159613202;0,106741573;0,139373916;0,071873251;0,099296142;0,02335901;0,045177632;0
Ori 3D Skel Spur Removal Strict 9;1039,351807;543,4235171;49,01503204;4,077104916;442,5037076;181,2484713;0,143782976;0,053167666;0,157491393;0,123440774;0,143612499;0,100569869;0,117534689;0,063668113;0,07513666;0,023150902;0,026563402;0
Ori 3D Skel Spur Removal Strict 10;2426,80267;518,7674087;48,32957219;3,440921137;990,4579876;200,4803717;0,147639944;0,050839676;0,156663622;0,122460996;0,142674559;0,104619192;0,119360621;0,072791699;0,077042641;0,026763782;0,025213055;0
Ori 3D Skel Spur Removal Strict 11;1113,29712;668,0023298;17,1010234;1,79865895;337,664634;36,16432048;0,140387151;0,022167426;0,148237583;0,065442494;0,138679919;0,047620848;0,119444967;0,013361338;0,086251861;0;0,040739981;0
Ori 3D Skel Spur Removal Strict 12;1100,784093;613,2304819;35,12125765;3,060633962;434,9922599;184,7589333;0,157388153;0,053436614;0,172842489;0,134720205;0,159777923;0,109419432;0,13535733;0,067999543;0,095616477;0,023990265;0,041326046;0
Ori 3D Skel Spur Removal Strict 13;1096,587767;595,1049436;18,62685439;2,64983788;404,3566194;139,0534079;0,16251381;0,057332114;0,180631911;0,136910215;0,167595585;0,113954082;0,138195568;0,082241621;0,095793373;0,026067621;0,04397642;0
Ori 3D Skel Spur Removal Strict 14;1632,874072;568,5485707;47,60093779;4,107818992;689,9275166;228,5594629;0,149608648;0,062452163;0,161376505;0,12439409;0,142164586;0,097490073;0,112660823;0,065685093;0,073195741;0,020553362;0,032539656;0
Ori 3D Skel Spur Removal Strict 15;4059,22003;547,9283326;27,85434021;1,900442527;1201,238492;47,87204444;0,134234014;0,013151472;0,139073695;0,049491064;0,125125908;0,020947414;0,106262034;0;0,077964651;0;0,040250181;0
avg;1431,702057;582,6794614;30,18581736;2,769088542;519,9193972;143,3857529;0,150823905;0,052493535;0,163395474;0,118394942;0,150150161;0,097232645;0,125556188;0,062622647;0,085731864;0,01863119;0,037437614;3,1102E-05
Ori 3D Skel Strict 1;830,408394;254,7530019;89,45957987;11,24431543;457,7273173;151,7663892;0,25826875;0,188509454;0,209597944;0,213250361;0,187831478;0,184073977;0,148908918;0,132966087;0,084641246;0,059049793;0,006103931;0,002166066
Ori 3D Skel Strict 2;373,5006438;170,1980183;126,9629466;17,57838351;246,6020417;131,0630843;0,252233182;0,204916271;0,208278638;0,214482713;0,185059811;0,188207827;0,144437788;0,135468521;0,083693898;0,067235188;0,005611237;0,002116178
Ori 3D Skel Strict 3;917,6623028;258,8031456;114,0290172;13,43865955;513,0329442;172,6125694;0,231173552;0,166909941;0,190010806;0,194959828;0,168088864;0,161899709;0,129954786;0,112302085;0,071842788;0,049826387;0,004950788;0,002040818
Ori 3D Skel Strict 4;328,022078;142,193029;156,5967992;19,7203667;238,4467176;128,5966297;0,259035308;0,221620537;0,21277292;0,231724969;0,188647706;0,197890837;0,14056094;0,135177226;0,074649556;0,061879683;0,005212997;0,002077262
Ori 3D Skel Strict 5;484,3230033;177,9751547;122,0233179;20,17819557;300,1632521;141,9988714;0,267617464;0,23276103;0,205240242;0,22188508;0,180633378;0,184030069;0,137679431;0,124057961;0,074168962;0,051549333;0,004999984;0,00148362
Ori 3D Skel Strict 6;443,6983105;192,0919958;132,5662474;20,87448796;284,8623115;141,0725961;0,261535774;0,22827556;0,199389494;0,2001762;0,174984863;0,171193124;0,133937844;0,127042541;0,074206033;0,058441332;0,005163419;0,002084433
Ori 3D Skel Strict 7;321,8494308;159,2084142;149,9854132;22,14127318;232,2177818;134,1982221;0,262744813;0,249756609;0,217409902;0,235056132;0,193988346;0,203036951;0,155272214;0,152821915;0,092204572;0,073962993;0,006386862;0,002881821
Ori 3D Skel Strict 8;831,4133846;188,0361847;104,9745885;14,60999621;464,4960622;134,2279837;0,267220754;0,22063027;0,208628673;0,214605684;0,189593744;0,188665762;0,153057567;0,140315405;0,090260744;0,07187013;0,007229816;0,002599354
Ori 3D Skel Strict 9;316,4461809;165,3317925;174,6013211;28,93960559;241,2169184;138,7681512;0,25702439;0,229116565;0,201580808;0,2108347;0,178196545;0,18226408;0,137505334;0,130468484;0,075319807;0,062143161;0,005275642;0,002114165
